# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Jul 13 07:17:05 2022
#
# User preference: *
#
# CONSTRAINT:  where (koi_disposition like '%FALSE%')
#
# COLUMN kepid:          KepID
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_fpflag_nt:  Not Transit-Like False Positive Flag
# COLUMN koi_fpflag_ss:  Stellar Eclipse False Positive Flag
# COLUMN koi_model_snr:  Transit Signal-to-Noise
# COLUMN koi_num_transits: Number of Transits
#
kepid,kepler_name,koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_model_snr,koi_num_transits
10848459,,FALSE POSITIVE,0,1,505.60,621
6721123,,FALSE POSITIVE,0,1,47.70,185
10419211,,FALSE POSITIVE,0,1,622.10,96
10464078,,FALSE POSITIVE,0,1,214.70,71
10480982,,FALSE POSITIVE,0,1,2317.00,55
10485250,,FALSE POSITIVE,0,1,303.40,66
10583180,,FALSE POSITIVE,0,1,48.20,501
2306756,,FALSE POSITIVE,0,1,994.00,
11463211,,FALSE POSITIVE,0,0,181.10,882
11465813,,FALSE POSITIVE,0,1,642.70,3
11493732,,FALSE POSITIVE,0,1,85.30,13
11152159,,FALSE POSITIVE,0,1,48.30,387
11242721,,FALSE POSITIVE,0,1,513.40,59
11442465,,FALSE POSITIVE,0,1,236.10,31
11656840,,FALSE POSITIVE,0,1,835.60,180
11909839,,FALSE POSITIVE,0,1,745.20,117
3120431,,FALSE POSITIVE,0,1,39.00,780
3246984,,FALSE POSITIVE,0,0,103.60,664
12459725,,FALSE POSITIVE,0,0,11.20,
2440757,,FALSE POSITIVE,0,1,112.60,481
2445129,,FALSE POSITIVE,0,1,38.20,130
3114661,,FALSE POSITIVE,0,1,299.70,1466
3554600,,FALSE POSITIVE,1,0,14.20,143
3734868,,FALSE POSITIVE,0,1,636.80,114
3836375,,FALSE POSITIVE,0,0,38.80,842
3838486,,FALSE POSITIVE,0,0,48.50,454
5287983,,FALSE POSITIVE,0,1,64.90,408
4932348,,FALSE POSITIVE,0,1,1300.00,26
11913073,,FALSE POSITIVE,0,1,138.20,358
5077629,,FALSE POSITIVE,0,1,389.00,132
5283542,,FALSE POSITIVE,0,0,50.30,181
5649215,,FALSE POSITIVE,0,0,110.20,552
5370302,,FALSE POSITIVE,0,1,323.40,275
5372966,,FALSE POSITIVE,0,1,1671.10,117
5376067,,FALSE POSITIVE,0,1,117.20,272
5481416,,FALSE POSITIVE,0,1,50.50,549
5534814,,FALSE POSITIVE,0,1,269.70,273
6267425,,FALSE POSITIVE,0,1,122.10,320
6675056,,FALSE POSITIVE,0,1,51.70,127
6756669,,FALSE POSITIVE,0,1,1630.40,178
6862603,,FALSE POSITIVE,0,1,58.30,454
11869052,,FALSE POSITIVE,0,1,18.50,67
7270230,,FALSE POSITIVE,0,1,192.30,192
3247396,,FALSE POSITIVE,0,1,76.80,125
7708215,,FALSE POSITIVE,0,1,60.40,172
7377033,,FALSE POSITIVE,0,1,125.40,685
7552344,,FALSE POSITIVE,0,1,147.40,668
7767559,,FALSE POSITIVE,0,1,85.80,303
8180063,,FALSE POSITIVE,0,0,119.40,230
8256049,,FALSE POSITIVE,0,0,54.50,84
9159275,,FALSE POSITIVE,0,1,203.50,445
9166870,,FALSE POSITIVE,0,0,90.10,350
8605074,,FALSE POSITIVE,0,1,1667.30,32
8655354,,FALSE POSITIVE,0,1,45.40,202
8686150,,FALSE POSITIVE,0,1,1843.80,28
5897826,Kepler-469 b,FALSE POSITIVE,0,1,529.90,42
9016295,,FALSE POSITIVE,0,1,1398.80,69
9097120,,FALSE POSITIVE,0,1,547.80,56
9171801,,FALSE POSITIVE,0,1,37.20,179
9904059,,FALSE POSITIVE,0,1,86.10,10
10485069,,FALSE POSITIVE,1,0,28.90,1197
3233043,,FALSE POSITIVE,0,1,458.60,1765
6579806,,FALSE POSITIVE,0,1,534.50,134
